crf_ver,joining_key,EPAL_LOCATION_LONGITUDE,EPAL_LOCATION_LATITUDE
1,uuid:815859df-acfb-444a-915b-3050fee64cd0,35.0294603,-15.78763036
1,uuid:d8eddc31-2db7-4330-9f0c-a295ef0c1ca3,35.03309872,-15.79127248
1,uuid:e2450ad5-7f8c-4b3f-9ee4-2954c234afd7,35.03128823,-15.78921478
1,uuid:ccdfacfd-a6e6-4d03-b6bf-a04655226594,35.03328044,-15.79116601
1,uuid:5c402cda-7f98-4bbd-9adb-aadc93e4617e,35.03142368,-15.78901991
1,uuid:53ea57f7-289d-4b0e-b752-f5169862d15e,35.03274098,-15.79143024
1,uuid:01c3f2dd-5284-438c-a120-e999743a6cf0,35.050864,-15.77345325
1,uuid:8b7d4537-f927-454f-b9a6-1755bf548b89,35.0329693,-15.79130635
1,uuid:98d03e83-890e-42cd-84b6-6bb19d371d53,35.03304105,-15.79122925
1,uuid:28ff120d-4155-4bd4-96a2-9a8cdbffbf8e,35.0332905,-15.79116117
1,uuid:d9b1d7ff-fc7b-429a-8196-253b9fea2b86,35.03302161,-15.79114343
1,uuid:f04241d1-eda3-4dc3-8fec-b7a553f80c42,35.05088311,-15.7734284
1,uuid:68906bc6-8d64-4004-959f-0e0e9095eb95,35.0504915,-15.77342324
1,uuid:d21bdb0d-7d3d-4697-9022-9aa161f38d0f,35.05124319,-15.77369685
1,uuid:7d12e845-b6b3-47bd-aeaa-6b15cdb5229a,35.05085494,-15.77356327
1,uuid:9b06e422-c332-4df7-b7de-32da5582d6ee,35.05087305,-15.77360586
1,uuid:62f725b1-7983-472d-bb64-9dd7d0713a51,35.05005933,-15.77424826
1,uuid:dca733c1-c8bc-446e-97e8-833429de0480,35.05032051,-15.77204971
1,uuid:74f9fa1f-1bdb-48ca-91e1-551fa492f692,35.0479015,-15.77484871
1,uuid:bedad67b-8962-4e4d-9a3b-d92c83085ebf,35.04870616,-15.77514683
1,uuid:665b6be8-5371-4a61-8e16-23a21d84d204,35.04892342,-15.77518813
1,uuid:0ca9e030-aa7d-40ac-a712-09776b46f3c9,35.04884832,-15.77514167
1,uuid:1b82cb5d-b222-418e-9a1b-964585340eb0,35.04903875,-15.77505907
1,uuid:3588fd1d-7a9c-4408-a3ff-65f35bc0fb37,35.04019115,-15.76984533
1,uuid:705b8ae8-6fdf-496f-9e56-1a4e77987d00,35.0402448,-15.76979629
1,uuid:51ee3e01-19f1-4048-bbe6-79240fb578a4,35.04026089,-15.76981694
1,uuid:fdaffec1-36aa-490b-b153-391f13c4eb28,35.04042719,-15.76977047
1,uuid:f07ce8a6-7cad-40d3-93c0-59744f2b5852,35.04892509,-15.77511909
